response.main.verb,chain,workerid,gloss,trialnum,response,response.caveman,clozeIndex,document,original,condition
come,84,1,Server start.,1,The waiter came to the table. ,waiter come to table,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",caveman
find,21,1,Waitress come.,2,How often do people find bugs in their food?,people find bug in food,0,243,"After perusing our menus, the waitress came over to take our order.",caveman
throw,11,1,We be.,3,The boy threw his fork across the dining room. ,boy throw fork across room,3,191,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.",caveman
forget,168,1,Husband decide.,4,"I forgot my wallet at home, and could not pay for my food. ",I forget wallet at home,0,177,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,caveman
refuse,68,1,He put on table.,5,"The couple refused to pay for their meals, and made quite the scene. ",couple refuse,3,196,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",caveman
find,40,1,I have.,6,"I found a bug in my food, and wanted a free meal. ",I find bug in food,1,086,I always had to speak up and try to get her attention for a refill.,caveman
delicious,78,1,We not allow.,7,The food at this place is delicious. ,food delicious,0,022,"As I said, we did not allow it to tarnish our evening.",caveman
need,47,1,He mention.,8,I needed a refill. ,I need refill,1,025,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,caveman
empty,62,1,I stick.,9,The salad bar was completely empty. ,bar empty,0,151,At this point I'm just sticking around to watch the show.,caveman
come,22,1,It thing.,10,The waiter came to the table at last. ,waiter come to table at last,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,caveman
wait,86,1,I order.,11,We waited forever to be seated. ,we wait,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,caveman
refuse,110,1,I wonder.,12,"My wife refused to cook me anymore meals, stating that she was too busy. ",wife refuse,3,050,"I wonder, however, what we could have done differently to avoid his attitude.",caveman
undercooked,41,1,We seat.,13,"My steak was slightly undercooked, which I told her when she came back to check in on us. ",steak undercooked,2,120,"We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.",caveman
overcooked,18,1,I tip.,14,The food was overcooked and not good. ,food overcooked,2,271,"I usually tip well, but I gave the waiter 12%, which actually was too much.",caveman
crash,76,1,She decide.,15,The dishes crashed to the floor. ,dish crash to floor,1,033,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",caveman
look,88,1,He tell.,16,The desert at the other table looked appetizing. ,desert look,5,023,He told them they were no longer welcome.,caveman
happen,29,1,It pour with rain.,17,It happened on a weekend. ,it happen on weekend,1,171,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,caveman
word,84,2,Seconds come.,1,All I can see is blurred words and 'server start' written over them?,all word,0,063,A few seconds later the server came to check on us and asked how our food was.,event_only
wash,110,2,I refuse.,2,My wife finally retired now she washes lots of dishes.,she wash lot,2,050,I refused but also declined to tip the culprit.,event_only
point,58,2,It freezing.,3,When the waiter brought our food he pointed something out to me.,he point something to I,0,171,It's freezing this time of year so I didn't want to sit near the door.,event_only
give,11,2,We be.,4,We gave our son a gift for behaving.,we give gift,3,191,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.",event_only
now,48,2,Judge try.,5,I am now the manager at work/,I now,1,022,"In reality this ""judge'' was trying to hide his martini on the floor.",event_only
go,18,2,Waiter say.,6,We went to the restaurant.,we go to restaurant,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",event_only
give,68,2,He throw.,7,I did not give in/,I give,5,196,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",event_only
need,62,2,I stick.,8,I needed to sneeze.,I need,0,151,At this point I'm just sticking around to watch the show.,event_only
be,10,2,It freezing.,9,So it will be.,it be,1,025,It's freezing this time of year so I didn't want to sit near the door.,event_only
come,20,2,Couple run.,10,My friend came over.,friend come,1,177,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",event_only
finish,41,2,We seat.,11,We finish eating.,we finish eating,2,120,"We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.",event_only
ask,76,2,She break.,12,I asked what she wanted.,I ask,0,033,"Of course, she breaks the teabag inside.",event_only
ask,41,2,We people.,13,We ask for a table. ,we ask for table,1,243,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",event_only
want,40,2,Waitress offer.,14,I wanted to get ice cream.,I want,0,086,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",event_only
sit,86,2,I order.,15,We sit down.,we sit,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,event_only
decide,88,2,I interrupt.,16,I decide what to do.,I decide,1,023,"I interrupted her stating, ""I will go get my manager,'' and walked away.",event_only
eat,22,2,It thing.,17,I eat and it is good.,I eat,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,event_only
strong,10,3,It be.,1,The air conditioning was too strong.,conditioning strong,0,025,It was off to a bad start as soon as I walked in the door.,caveman
leave,68,3,He throw.,2,The people left without paying.,people leave,5,196,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",caveman
fault,11,3,Son behave.,3,"It wasn't the restaurant's fault, though.",it fault poss restaurant,4,191,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,caveman
decide,40,3,I have.,4,We decided to order the special.,we decide,1,086,I always had to speak up and try to get her attention for a refill.,caveman
rude,18,3,I tip.,5,The staff were very rude.,staff rude,2,271,"I usually tip well, but I gave the waiter 12%, which actually was too much.",caveman
have,29,3,It pour with rain.,6,"We still had a good time, though.",we have time,1,171,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,caveman
spill,168,3,Husband decide.,7,The waiter spilled my drink on me.,waiter spill drink on I,0,177,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,caveman
great,22,3,I order.,8,Our meal was great.,meal great,0,153,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",caveman
know,21,3,Waitress come.,9,We didn't know what some of the dishes were.,we know,0,243,"After perusing our menus, the waitress came over to take our order.",caveman
take,86,3,I order.,10,It took a long time for us to be seated.,it take time for we,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,caveman
frustrating,78,3,You think.,11,It was very frustrating.,it frustrating,1,022,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",caveman
arrive,41,3,Food good.,12,We arrived early.,we arrive,0,120,"The food was good, the service was good, we had a fun time.",caveman
be,84,3,Server start.,13,The service was very fast.,service be,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",caveman
look,62,3,I stick.,14,Something didn't look right on the plate.,something look right on plate,0,151,At this point I'm just sticking around to watch the show.,caveman
seem,110,3,I refuse.,15,It seemed like the food had been reheated.,it seem,2,050,I refused but also declined to tip the culprit.,caveman
be,76,3,She break.,16,There were a lot of options to choose from.,lot be,0,033,"Of course, she breaks the teabag inside.",caveman
