"workerid","document","chain","clozeIndex","original","gloss","response","condition","trialnum"
"1","063","84",1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","Server start.","The waiter came to the table. ","caveman",1
"1","243","21",0,"After perusing our menus, the waitress came over to take our order.","Waitress come.","How often do people find bugs in their food?","caveman",2
"1","191","11",3,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","We be.","The boy threw his fork across the dining room. ","caveman",3
"1","177","168",0,"My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","Husband decide.","I forgot my wallet at home, and could not pay for my food. ","caveman",4
"1","196","68",3,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","He put on table.","The couple refused to pay for their meals, and made quite the scene. ","caveman",5
"1","086","40",1,"I always had to speak up and try to get her attention for a refill.","I have.","I found a bug in my food, and wanted a free meal. ","caveman",6
"1","022","78",0,"As I said, we did not allow it to tarnish our evening.","We not allow.","The food at this place is delicious. ","caveman",7
"1","025","47",1,"At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","He mention.","I needed a refill. ","caveman",8
"1","151","62",0,"At this point I'm just sticking around to watch the show.","I stick.","The salad bar was completely empty. ","caveman",9
"1","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It thing.","The waiter came to the table at last. ","caveman",10
"1","248","86",0,"After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","I order.","We waited forever to be seated. ","caveman",11
"1","050","110",3,"I wonder, however, what we could have done differently to avoid his attitude.","I wonder.","My wife refused to cook me anymore meals, stating that she was too busy. ","caveman",12
"1","120","41",2,"We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.","We seat.","My steak was slightly undercooked, which I told her when she came back to check in on us. ","caveman",13
"1","271","18",2,"I usually tip well, but I gave the waiter 12%, which actually was too much.","I tip.","The food was overcooked and not good. ","caveman",14
"1","033","76",1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","She decide.","The dishes crashed to the floor. ","caveman",15
"1","023","88",5,"He told them they were no longer welcome.","He tell.","The desert at the other table looked appetizing. ","caveman",16
"1","171","29",1,"It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","It pour with rain.","It happened on a weekend. ","caveman",17
"2","063","84",0,"A few seconds later the server came to check on us and asked how our food was.","Seconds come.","All I can see is blurred words and 'server start' written over them?","event_only",1
"2","050","110",2,"I refused but also declined to tip the culprit.","I refuse.","My wife finally retired now she washes lots of dishes.","event_only",2
"2","171","58",0,"It's freezing this time of year so I didn't want to sit near the door.","It freezing.","When the waiter brought our food he pointed something out to me.","event_only",3
"2","191","11",3,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","We be.","We gave our son a gift for behaving.","event_only",4
"2","022","48",1,"In reality this ""judge'' was trying to hide his martini on the floor.","Judge try.","I am now the manager at work/","event_only",5
"2","271","18",0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","Waiter say.","We went to the restaurant.","event_only",6
"2","196","68",5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","He throw.","I did not give in/","event_only",7
"2","151","62",0,"At this point I'm just sticking around to watch the show.","I stick.","I needed to sneeze.","event_only",8
"2","025","10",1,"It's freezing this time of year so I didn't want to sit near the door.","It freezing.","So it will be.","event_only",9
"2","177","20",1,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","Couple run.","My friend came over.","event_only",10
"2","120","41",2,"We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.","We seat.","We finish eating.","event_only",11
"2","033","76",0,"Of course, she breaks the teabag inside.","She break.","I asked what she wanted.","event_only",12
"2","243","41",1,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","We people.","We ask for a table. ","event_only",13
"2","086","40",0,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","Waitress offer.","I wanted to get ice cream.","event_only",14
"2","248","86",0,"After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","I order.","We sit down.","event_only",15
"2","023","88",1,"I interrupted her stating, ""I will go get my manager,'' and walked away.","I interrupt.","I decide what to do.","event_only",16
"2","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It thing.","I eat and it is good.","event_only",17
"3","025","10",0,"It was off to a bad start as soon as I walked in the door.","It be.","The air conditioning was too strong.","caveman",1
