workerid,document,chain,clozeIndex,original,gloss,entitymatch,vpmatch,vp,response,condition,trialnum
12,50,110,1, I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,Dish not hot.,TODO,no,talk,My wife is talking to me about retiring from work.,caveman,NA
2,177,20,1,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",Couple run.,TODO,no,come,My friend came over.,event_only,10
5,177,20,1,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",Couple run.,TODO,no,first,We were the first ones to show up ,event_only,11
7,177,20,1,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",Couple run.,TODO,no,go,Mother go to bed.,event_only,16
9,177,20,1,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",Couple run.,TODO,yes,go,They go to a restaurant.,caveman,9
13,177,20,1,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",Couple run.,TODO,no,dream,It would be a dream come true despite the details to work out.,caveman,2
19,177,20,1,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",TODO,yes,seem,We spotted a couple of friends there.,original,8
23,177,20,1,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",Couple run.,TODO,yes,order,Sister orders.,event_only,17
2,63,84,0,A few seconds later the server came to check on us and asked how our food was.,Seconds come.,TODO,NA,NA,All I can see is blurred words and 'server start' written over them?,event_only,1
4,63,84,0,A few seconds later the server came to check on us and asked how our food was.,A few seconds later the server came to check on us and asked how our food was.,TODO,no,complain,My wife complained that her steak was overdone.,original,10
5,63,84,0,A few seconds later the server came to check on us and asked how our food was.,Seconds come.,TODO,no,order,Despite that we went ahead with our order ,event_only,3
7,63,84,0,A few seconds later the server came to check on us and asked how our food was.,Seconds come.,yes,no,start,Server start soon.,event_only,10
9,63,84,0,A few seconds later the server came to check on us and asked how our food was.,Seconds come.,TODO,no,web,The web server was turned on.,caveman,1
11,63,84,0,A few seconds later the server came to check on us and asked how our food was.,Seconds come.,TODO,no,come,Food come.,caveman,10
12,63,84,0,A few seconds later the server came to check on us and asked how our food was.,Seconds come.,TODO,no,talk,We stop talking at the waiter approaches the table.,caveman,12
14,63,84,0,A few seconds later the server came to check on us and asked how our food was.,Seconds come.,TODO,no,sit,We sat down.,event_only,13
16,63,84,0,A few seconds later the server came to check on us and asked how our food was.,Seconds come.,TODO,no,walk,Walk up to server.,caveman,2
22,63,84,0,A few seconds later the server came to check on us and asked how our food was.,Seconds come.,TODO,no,sit,I sit.,caveman,13
24,63,84,0,A few seconds later the server came to check on us and asked how our food was.,A few seconds later the server came to check on us and asked how our food was.,TODO,no,tell,My wife told the server that her steak was overcooked.,original,7
1,243,21,0,"After perusing our menus, the waitress came over to take our order.",Waitress come.,no,no,find,How often do people find bugs in their food?,caveman,2
3,243,21,0,"After perusing our menus, the waitress came over to take our order.",Waitress come.,TODO,no,know,We didn't know what some of the dishes were.,caveman,9
6,243,21,0,"After perusing our menus, the waitress came over to take our order.",Waitress come.,TODO,no,ask,Someone made a special request at a restaurant that the waitress had to check up on.,event_only,17
7,243,21,0,"After perusing our menus, the waitress came over to take our order.",Waitress come.,yes,no,look,Waitress looked at him.,event_only,6
17,243,21,0,"After perusing our menus, the waitress came over to take our order.",Waitress come.,TODO,no,decide,I am deciding on what to eat.,caveman,8
19,243,21,0,"After perusing our menus, the waitress came over to take our order.","After perusing our menus, the waitress came over to take our order.",TODO,yes,ask,The waitress asked for my order.,original,12
1,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,I order.,TODO,no,wait,We waited forever to be seated. ,caveman,11
2,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,I order.,TODO,no,sit,We sit down.,event_only,15
3,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,I order.,TODO,no,wait,It took a long time for us to be seated.,caveman,10
6,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,I order.,TODO,no,order,They placed an order and had to wait for what they felt was an unreasonable amount of time.,event_only,5
7,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,I order.,TODO,no,order,I order a pizza.,event_only,14
8,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,TODO,no,wave,I was waving to the waitress that we needed our bill.,original,15
12,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,I order.,TODO,no,sit,I sat down at the table in the restaurant.,caveman,9
14,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,I order.,TODO,no,reserve,We made a reservation and got a table quickly.,event_only,17
15,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,I order.,TODO,no,order,What soup should I order,caveman,10
17,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,I order.,TODO,no,arrive,We all arrive on time for our meal.,caveman,16
18,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,TODO,no,know,"We did not know what the bill would look like, since the rest of the experience was so bad.",original,8
20,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,I order.,TODO,no,call,I called the restaurant,caveman,2
21,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,TODO,no,mistake,The waitress made several mistakes on our order.,original,9
22,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,I order.,TODO,no,sit,Group sit.,caveman,3
24,248,86,0,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,TODO,no,go,I'm never going to this restaurant again.,original,11
1,22,78,0,"As I said, we did not allow it to tarnish our evening.",We not allow.,no,no,delicious,The food at this place is delicious. ,caveman,7
12,22,78,0,"As I said, we did not allow it to tarnish our evening.",We not allow.,TODO,no,wrong,"You think you was correct, but really you had it all wrong.",caveman,1
17,22,78,0,"As I said, we did not allow it to tarnish our evening.",We not allow.,TODO,no,think,I think the meal was good.,caveman,13
20,22,78,0,"As I said, we did not allow it to tarnish our evening.",We not allow.,TODO,no,suggest,The waiter suggested an option.,caveman,8
23,22,78,0,"As I said, we did not allow it to tarnish our evening.",We allow.,TODO,no,stand,We stood around.,event_only,6
1,25,47,1,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,He mention.,no,no,need,I needed a refill. ,caveman,8
7,25,47,1,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,He mention.,TODO,no,come,Waiter come quick.,event_only,3
9,25,47,1,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,He mention.,TODO,no,eat,They ate their meal.,caveman,11
13,25,47,1,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,He mention.,TODO,no,order,We both ordered the same thing.,caveman,17
15,25,47,1,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,He mention.,TODO,no,come,when will the waiter come,caveman,14
22,25,47,1,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,He mention.,TODO,no,ask,He ask.,caveman,17
23,25,47,1,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,He mention.,TODO,no,take,He took our order.,event_only,4
1,151,62,0,At this point I'm just sticking around to watch the show.,I stick.,no,no,empty,The salad bar was completely empty. ,caveman,9
2,151,62,0,At this point I'm just sticking around to watch the show.,I stick.,TODO,no,need,I needed to sneeze.,event_only,8
3,151,62,0,At this point I'm just sticking around to watch the show.,I stick.,TODO,no,look,Something didn't look right on the plate.,caveman,14
4,151,62,0,At this point I'm just sticking around to watch the show.,At this point I'm just sticking around to watch the show.,TODO,no,order,"I ordered a salad, and noticed there was something wrong.",original,17
8,151,62,0,At this point I'm just sticking around to watch the show.,At this point I'm just sticking around to watch the show.,TODO,no,notice,I looked on the table and I noticed a tissue.,original,9
10,151,62,0,At this point I'm just sticking around to watch the show.,I stick.,TODO,no,funny,What happened next was really funny.,event_only,12
12,151,62,0,At this point I'm just sticking around to watch the show.,I stick.,TODO,no,notice,I looked down at my salad and noticed something.,caveman,15
13,151,62,0,At this point I'm just sticking around to watch the show.,I stick.,TODO,no,leave,We left at the same time.,caveman,4
16,151,62,0,At this point I'm just sticking around to watch the show.,I stick.,TODO,no,grab,I grab.,caveman,10
21,151,62,0,At this point I'm just sticking around to watch the show.,At this point I'm just sticking around to watch the show.,TODO,no,find,I found a snot rag in my salad.,original,3
23,151,62,0,At this point I'm just sticking around to watch the show.,I stick.,TODO,no,push,I pushed.,event_only,14
1,33,76,1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",She decide.,TODO,no,crash,The dishes crashed to the floor. ,caveman,15
4,33,76,1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",TODO,no,pour,Loose tea leaves poured out everywhere.,original,9
5,33,76,1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",She decide.,TODO,no,interested,We were interested in hearing about the specials. ,event_only,8
11,33,76,1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",She decide.,TODO,no,break,I break.,caveman,2
15,33,76,1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",She decide.,TODO,no,break,what bone did she break,caveman,8
16,33,76,1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",She decide.,TODO,no,buy,She buy.,caveman,14
18,33,76,1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",TODO,no,strong,Now my tea is so strong I can't drink it.,original,2
23,33,76,1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",She decide.,TODO,no,apologize,We apologized many times.,event_only,5
1,196,68,3,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",He put on table.,no,no,refuse,"The couple refused to pay for their meals, and made quite the scene. ",caveman,5
4,196,68,3,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",TODO,no,storm,"When the man didn't believe him, the manager stormed into the kitchen and produced a book from the fridge.",original,1
6,196,68,3,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",He put.,TODO,no,throw,"Someone threw something, which made the manager yell, and then the manager to explain what happened and assure a couple to stay.",event_only,8
8,196,68,3,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",TODO,no,ask,"The man asked the manager, how do they know for sure they were 10 oz.",original,10
